Tweet,Popularity
"As the Senate nears a vote on the #BuffettRule, tweet your senators and ask them to support it: http://t.co/1ILd91FS",0
Expecting a great crowd at the #Gen44 event tonight—looking forward to seeing you all there. –Joe,0
"Favorite Joe photos, vol. 2: http://t.co/f4S9DjDG",0
"Fired-up crowd at the Howard Theatre this evening. Thanks for coming out, guys. —Joe",0
RT @LatinosforObama: Today is the national launch of @LatinosforObama – become a part of it here: http://t.co/FtQV99jb #Latinos2012,0
Granddaughter Naomi introduced me at #Gen44 event last night. She said young people have to turn out the vote this year—she's right. –Joe,0
"RT @VP: VP today on reauthorizing #VAWA: ""What are we arguing about? This shouldn’t be hard.""",0
"RT @VP: VP Biden: ""No woman should be victimized purely because someone else had more physical power or more economic power"" #VAWA",0
"Watch Vice President Biden make the case for reauthorizing the #VAWA, which he authored as a senator: http://t.co/yzcMDY1I",0
A favorite photo: Joe gets barbecue with his son Beau during the 2008 Democratic National Convention in Denver. http://t.co/oxtdDhCn,0
Joe Biden tells @Esquiremag what he’s learned so far: http://t.co/v3CuP5NC,0
Joe spells out why organizing for #Obama2012 now will make all the difference in November: http://t.co/gNbj6vBd,0
Joe told @CARandDRIVER about his passion for cars—and why President Obama’s auto industry rescue was the right move: http://t.co/h61YiZLN,0
"On Thursday, VP Biden will make a campaign stop at NYU to talk about national security.",0
"To tee up the VP’s speech, we’ll be spotlighting the Vice President’s foreign policy work—stay tuned for stories and photos all week long.",0
"During a visit to the Middle East in 2010, the VP spoke of the close bond between the U.S. and Israel: http://t.co/Obihd3ts",0
"In May 2010, the VP reaffirmed U.S. solidarity with a unified EU in an address to the European Parliament: http://t.co/QhKwAL21",0
VP national security speech week: Check out photos from the Vice President’s trip to China last summer. http://t.co/QIhNEwvY,0
Read Vice President Biden’s op-ed on the benefits of a strong U.S.-China relationship: http://t.co/eOCdagLc,0
"Watch highlights from the VP’s 2011 trip to Asia, including a visit with Japanese earthquake survivors: http://t.co/oStlnBVw",0
"The VP spoke about the importance of building a sovereign, stable Afghanistan in January 2011: http://t.co/ZrulCduN",0
"VP national security speech week: In December, the VP marked the end of combat operations in Iraq. http://t.co/LMXUKtHz",0
Photo gallery: The Vice President explores Turkey during a December 2011 trip. http://t.co/7L3yxzkq,0
"There’s an #Obama2012 weekend of action coming up, and Joe wants you to get involved—see what’s going on in your town: http://t.co/6hZxdLm6",0
Tune in to http://t.co/iLAnMhdW tomorrow at 10:30am ET—we’ll be streaming VP Biden’s national security speech from NYU.,0
The live stream of VP Biden’s foreign policy speech kicks off at 10:30am ET—watch at http://t.co/iLAnMhdW,0
.@JoeBiden on President Obama: “He set in motion a policy that ended the war in Iraq responsibly.”,0
Vice President Biden: “Gov. Romney’s foreign and security policy would return us to the past we have worked so hard to move beyond.”,0
"VPOTUS: “We’ve taken more terrorists off the battlefield in the last 3 years than in the previous 8, putting al-Qaeda on a path to defeat.”",0
"“We made the G-20 a new forum for international economic coordination, recognizing the reality of the 21st century.”—Vice President Biden",0
"VPOTUS: “Gov. Romney reflexively criticizes the President’s policies, and almost in every case without offering any specific alternative.”",0
"VP Biden: “To the extent Governor Romney has shown any foreign policy vision, it is through the glass of a rearview mirror.”",0
"VP: “There’s no country better positioned to lead the world in the 21st century than the U.S., but only if we stay on the course we’re on.”",0
“The Violence Against Women Act is as important today as it’s ever been.”—VPOTUS urging the House to pass #VAWA after the Senate vote today,0
The VP gave a speech on national security yesterday at NYU—watch his full remarks: http://t.co/42wgNnQp,0
"VP national security speech week: Biden hails the successful ""reset"" of U.S.-Russia relations in 2011. http://t.co/hq5bTKCe",0
VP Biden led the U.S. delegation to South Africa for the 2010 World Cup—get his take on the experience: http://t.co/lqZ8jA6x,0
"In March, the VP traveled to Mexico and Honduras to talk economic and security issues: http://t.co/mBF1TWNM",0
Recap the VP's 2009 trip to Chile and Costa Rica and read the op-ed he wrote for Latin American newspapers: http://t.co/i6sCWmsa,0
There’s still time to get in on the #Obama2012 Voter Registration Weekend of Action—find an event near you: http://t.co/1sNXkP58,0
A favorite Joe photo: The President and VP walking together at a Chrysler plant in Indiana. http://t.co/zyruYyd6,0
Joe fans: Be sure to bookmark the new VP Biden page on the #Obama2012 website for updates from the campaign trail: http://t.co/jLFjMT7q,0
The VP spoke to @LaRedHispana about how President Obama’s policies are benefiting Latinos: http://t.co/LMXl7lOI,0
"Dr. Biden spoke in Kansas City, Missouri about the role community colleges play in developing a 21st century workforce: http://t.co/pJvlFyEh",0
Take a look back through Joe’s career with these photos (via @TPM): http://t.co/GRehp98f,0
VP Biden spoke at @LafCol in Pennsylvania last night—the same school his great-grandfather attended: http://t.co/TAkS2auH,0
RT @VP: PHOTO: VP Biden tours the archives of @LafCol – where his great-grandfather and great uncles enrolled. http://t.co/jMTHyMEW,0
"RT @VP: PHOTO: VP Biden celebrates Cinco de Mayo a few days early at a breakfast at the Naval Observatory, 5/2/12. http://t.co/1Sbk8s1J",0
The Obama-Biden campaign kicks into high gear with a rally in Columbus tomorrow—watch live at 12:30pm ET: http://t.co/OtrSPnTf,0
Get in on the #Obama2012 rally action this Saturday from home—your note or photo could be featured on the livestream: http://t.co/MLJRX6ji,0
VP Biden hosted a Cinco de Mayo breakfast this week—keep the celebration going by following @LatinosforObama. #FF,0
VP Biden talked to the @YWCAUSA today about the importance of reauthorizing the #VAWA: http://t.co/0v3Txn5U,0
Learn more about the VP’s efforts to combat teen dating violence: http://t.co/kBlzIlQj #1is2Many,0
Let’s get this show on the road: Tune in to http://t.co/OtrSPnTf at 12:45pm ET for the first #Obama2012 campaign rally of the year.,0
Attending one of the rallies in person or taking part online? Tweet your thoughts and photos with the hashtag #Obama2012,0
"It’s great to see people so fired up at the President’s rallies today—I'm ready to go for the next six months, hope you are too. –Joe",0
Let’s get this President the second term he deserves. –Joe,0
In case you could use a cup of Joe in your day: http://t.co/L0OHp0Fu,0
Dr. Jill Biden encouraged graduates from @BrowardCollege to “lift up others” at their commencement last Friday: http://t.co/PPhi0vRz,0
"RT @VP: The Senate lost a brilliant strategic mind, a man with absolute integrity. He will be missed. -VP on @senatorlugar",0
The newest #Obama2012 ad is a look at the progress we've made these last few years: http://t.co/ayGHrqEU,0
Two years ago today: Elena Kagan poses with the VP and President Obama on the day she’s nominated to the Supreme Court. http://t.co/SRGOR6Bn,0
VP Biden made a cameo on Jeopardy last night: http://t.co/QjUZTxr3,0
The VP’s welcoming some #TopCops to the White House tomorrow as part of his long-standing commitment to our nation’s first responders.,0
"In February, VP Biden praised a new public safety broadband network that will keep firefighters, cops, and EMTs safer: http://t.co/fXvMn5xp",0
"In 2009, VP Biden helped secure $1 billion in grants to hire and rehire police officers around the country: http://t.co/4HvmDaJv",0
VP Biden’s swinging through the Buckeye State this week—we’ll be tweeting about his trip with the hashtag #MadeInOhio,0
Start getting fired up: Check out the speech the VP gave to @UAW autoworkers in Toledo this March. http://t.co/k16J7FW5 #MadeInOhio,0
"Thanks to President Obama’s auto industry rescue, Ohio has been on a steady road to recovery: http://t.co/c4sIcsUF #MadeInOhio",0
The VP’s headed to the Buckeye State today for a two-day visit—stay tuned for updates from the road. #MadeInOhio,0
A powerful video everyone should see: http://t.co/fths5MNo,0
"RT @OFA_OH: Volunteers are the beating heart of this campaign, and they're fired up for @JoeBiden! #MadeInOhio http://t.co/R7jwmC0N",0
"In Ohio, 1 in 8 jobs relate to the auto industry—that’s 848,000 Ohioans whose jobs are more secure thanks to President Obama. #MadeInOhio",0
Join Iowa's #Women2012 leaders call with Dr. Jill Biden tonight to discuss what’s at stake this November: http://t.co/1tsZ7N6Q,0
"Vice President Biden stopped by to say thanks to firefighters in Salem, Ohio today. http://t.co/V4nGBVyH",0
“It’s not just that manufacturing’s coming back. The middle class is coming back. America is coming back.”—VP Biden in Youngstown yesterday,0
VP Biden in Ohio: “There are signs of life and hope in the heartland.” http://t.co/iTzx3haF,0
"Four years ago, President Obama promised to bring back American manufacturing—and he's keeping his word: http://t.co/98qUU4sj #MadeInOhio",0
"RT @BeauBiden: Pres @BarackObama puts jobs, education &amp; health care for veterans first. They earned it. @Vets4Obama http://t.co/CqcfXqw3 -BB",0
Blue skies and sunshine greeted Vice President Biden in Ohio this morning. http://t.co/3XaQaTIC,0
"""If you give them a fair shot, ordinary American people will never let the country down.”—VP Biden in Martins Ferry, Ohio yesterday",0
A new way to follow Joe as he crisscrosses the country for #Obama2012—presenting the “Joe on the road” Pinterest board: http://t.co/Rg0gtY7x,0
RT @aadaro: Full house of @vets4obama fired up and ready to go @OFA_NC with @beaubiden #VeteransforObama http://t.co/G94btHzw,0
New photos from the VP’s #MadeInOhio tour last week: http://t.co/mdFWH6pU,0
The VP’s plan for today: talking to grassroots supporters all over New Hampshire.,0
"RT @hramer: Vice President Joe Biden greets firefighters in Manchester, NH http://t.co/ynNzhPqB",0
Randy tells the story of how Mitt Romney's firm forced his company into bankruptcy and walked away with millions: http://t.co/j7g4t4E6,0
Thanks to Randy Johnson for sharing his story about the impact of Romney economics—let's fight to keep different values in the WH. –Joe,0
“Our focus on the middle class is a reflection on the fundamental economic story of the journey of the history of this country.”—VP Biden,0
More great pics from the VP’s campaign trip through Ohio and Pennsylvania: http://t.co/hsVPbY2S,0
Lunch summit. http://t.co/fPoEKGwM,0
The VP fired up #Obama2012 supporters in New Hampshire this week: http://t.co/X6q0qjSV,0
Dr. Jill Biden announced a new way to honor our nation’s servicemembers earlier this month: http://t.co/XgPdbAGP,0
"RT @OFA_NC: In Charlotte yesterday @JoeBiden was greeted by ""Fired up, ready for Joe!"" by an enthusiastic @OFA_NC team. http://t.co/QIHFrka4",0
"Three years ago today, VP Biden joined President Obama as he nominated Sonia Sotomayor to the Supreme Court: http://t.co/b7xipcl4",0
Today we honor our nation’s fallen heroes who made the ultimate sacrifice for their country. We will never forget.  – Joe,0
"Get to know Joe's son @BeauBiden—a major in the Delaware Army National Guard, public servant, and @Vets4Obama advocate: http://t.co/qXOO4f0W",0
The President and First Lady recorded a special message for servicemembers to mark the launch of @Vets4Obama: http://t.co/xdcV4Gbk,0
January 2011: VP Biden travels with Gen. David Petraeus aboard a Chinook helicopter in Afghanistan. http://t.co/e3IVp4jU,0
"From career counseling to tax credits, find out what President Obama is doing to help military families: http://t.co/qSJnlBxR",0
President Obama is standing up for those who serve—join Veterans and Military Families for Obama to stand with him: http://t.co/7k4EOIID,0
"As a military mom, Dr. Jill Biden knows how important it is that we provide long-term support to our veterans: http://t.co/mXXdEDwf",0
Read Dr. Biden’s powerful account of her son’s deployment to Iraq in 2008: http://t.co/ur4Cvh90,0
It’s Barack’s last campaign—chip in what you can before tonight’s important fundraising deadline: http://t.co/pCeExaf5,0
Get the facts on President Obama’s record of preserving our sacred trust with our servicemembers and veterans: http://t.co/MARj3Av3,0
"Last December, VP Biden welcomed home sailors of the USS Gettysburg after a deployment to the Middle East: http://t.co/a2jvpmTY",0
"For all the latest on #Obama2012’s work with vets and military families, follow @Vets4Obama, @BeauBiden, and @JoiningForces. #FF",0
The VP on the promises the Obama administration has kept to servicemembers and veterans: http://t.co/Xx2RHweT,0
"VP Biden, @arneduncan, and @CFPB’s Richard Cordray announce plans to make college more affordable: http://t.co/tbIE6ikN",0
The VP believes students should know how much a year of college will cost—and what types of financial aid are available to them.,0
Get to know the President’s blueprint for making college more affordable: http://t.co/7mXpwRah,0
Weigh in with what you’d like to see on the @CFPB’s “Know Before You Owe” college financial aid shopping sheet: http://t.co/lxeI6d1k,0
Massachusetts was 47th out of 50 states in job creation with Mitt Romney at the helm: http://t.co/bIQouqf0,0
"VP Biden on the 334,000 manufacturing jobs created in the past two years: http://t.co/Ovx3t5lA",0
“It's going to empower students and families to be back in the driver's seat.”—VP Biden on new college financial aid tools,0
The VP and the @CFPB are helping every college student get the right info on how to pay for their education: http://t.co/SG5iwCQP,0
The VP enjoyed some frozen custard with locals in downtown Winston-Salem yesterday: http://t.co/M3GGpWkT,0
Photo of the day: VP Biden dancing with his daughter Ashley at her wedding on Saturday. http://t.co/ThUOq3N5,0
"While Romney’s policies are the same ones that led us into the 2008 economic crisis, the President is fighting to get folks back on the job.",0
The choice for the middle class is clear—Romney would cut jobs for teachers and first responders; the President would put them back to work.,0
The President’s jobs plan would put folks back to work right away—tell Congress we can’t wait: http://t.co/Xe5zp0j3,0
"Cutting jobs for teachers, firefighters, and police officers won’t grow the economy—but that’s Mitt Romney’s plan: http://t.co/3OvwvV13",0
"The Romney campaign doubled down on its pledge to cut jobs for teachers, firefighters, and police officers yesterday: http://t.co/zfXzLWVe",0
The President’s plan to put cops and firefighters back to work would protect our nation’s “most basic obligation” to keep our citizens safe.,0
"Romney Economics means fewer teachers, fewer firefighters, and fewer police officers: http://t.co/ruNTxNG9",0
"The VP meets with supporters after speaking at a fire station in Flint, Michigan in 2011: http://t.co/V9fHPs4v",0
We asked people to share how teachers and first responders have impacted their lives—and the responses poured in: http://t.co/svTwkrhM,0
The President is speaking on economic fairness tomorrow at 1:45pm ET. RSVP to watch live: http://t.co/lr3IaRCb,0
Don’t forget to watch the President speak on building an economy that works for everyone at 1:45pm ET: http://t.co/IZiVQSul,0
We’ll be live-tweeting the President’s remarks on @Obama2012—follow along for the latest.,0
The President laid out starkly the choice in this election—between Gov. Romney and the GOP vision and ours. Great speech. –Joe,0
The President made it clear: The only way we believe we can build an economy that lasts is through a middle class that prospers. –Joe,0
"American voters, the President was right. The only way to break the stalemate in Washington is you. –Joe",0
The President said it well: We have a plan to give everyone a fair shot. They don’t. –Joe,0
Agree 100% with the President: We can’t afford to jeopardize our future by repeating the mistakes of the past. –Joe,0
The VP’s pledge to those who keep us safe: http://t.co/wSNgzfpk,0
Dr. Biden knows our students deserve a President who’s committed to their education—join her as an Educator for Obama: http://t.co/s228mjVs,0
Watch why teachers all over the country are doing everything they can to get President Obama re-elected in November: http://t.co/5rRiS2rv,0
"VP: “For so many Americans, including myself, the debt we all owe to our firefighters and police officers is personal.” http://t.co/gP5BCaab",0
Mitt Romney traveled through the Buckeye State this weekend—see what some Ohioans had to say about his visit: http://t.co/0hvlsfn7,0
"“Every single day in my classroom, I see the power of education to break down barriers &amp; instill confidence.”—Dr. Biden http://t.co/yAERHep1",0
"VP Biden to @AFSCME members today: “You provide the ability of people to live a decent, middle-class life. We owe you.”",0
"“The President says we can't build this economy from the top down, but from the middle out—that's what this is about.”—VP Biden",0
"VP Biden: “To me, being middle class is not a number; it's a way of life, it's a value set. It's about a minimum standard of living.”",0
VP Biden surprised a recent college grad with a phone call yesterday: http://t.co/RntqjzWa,0
"""At the end of the day, it's about sitting down with your kid and being able to say, 'it's going to be okay.'""—VP Biden at #NABJ2012",0
"RT @TruthTeam2012: If you agree with @JoeBiden on what being in the middle class means, RT this: http://t.co/Zir8WVjs",0
"RT @VP: Check out our new PSA on dating violence, featuring the President, VP, &amp; sports leaders because #1is2many -- http://t.co/l2ZREbbI",0
The VP on the importance of a good education—RT if you agree: http://t.co/yafY93lo,0
RT @DemConvention: VPOTUS @JoeBiden: “Let me know you’ll be a part of our convention.” #DNC2012 http://t.co/z3H65odv,0
President Obama’s student loan reform freed up more than $60 billion to make college more affordable and reduce the deficit. #progress,0
President Obama’s creating jobs right here in the U.S.; Romney would ship them overseas: http://t.co/ITwArdFL,0
A favorite Joe photo: http://t.co/UCwNrEkh,0
Be sure to follow the “Joe Biden on the road” Pinterest board for updates from the campaign trail: http://t.co/s0USIfzc #Obama2012,0
The VP kicks off the Strengthening the Middle Class bus tour in Iowa tomorrow—be sure to follow @OFA_IA for the latest.,0
"RT @OFA_IA: Whaddya mean you haven't RSVP'd to see @JoeBiden in Waterloo tomorrow? Better hurry, today's the last day: http://t.co/YyNnyGlv",0
"FACT: Under President Obama, Iowa’s economy has experienced record farm incomes and exports.",0
"“Give Mitt Romney credit: He is a job creator. In Singapore. And China. And India.”—VP Biden in Waterloo, Iowa today",0
"FACT: Iowa has created nearly 20,000 additional manufacturing jobs and a growing renewable energy sector under President Obama.",0
"VP: “Over the last two years, [John] Deere has added 850 jobs—almost all of them good, union manufacturing jobs.” #BidenInIA",0
“Don’t listen to any economist who tries to define the middle class for you as a number … The middle class is a way of life.”—VP Biden,0
“We'll never be able to outsource our way to greatness. The greatness of this nation is the grit and determination of all of you.”—VP Biden,0
"All smiles in Manchester, Iowa: http://t.co/2yw0F18y",0
RT @OFA_IA: Backdrop of the Mighty Mississippi to kickoff Day 2 of #BidenIA. http://t.co/yhBPYT6J,0
Great to be back in Iowa this week—thanks to old friends and new ones for the warm welcome. –Joe,0
"President Obama: ""Today’s decision was a victory for people all across this country whose lives will be more secure.""",0
RT @VP: Today’s decision is a really big – important – deal. Find out what it means for you: http://t.co/lyYdHQUh  –VP,0
RT @BarackObama: See how President Obama’s health care law helps you and your family: http://t.co/lUc5QAaC  #ACA,0
"From taking care of their kids to accessing preventive care, watch Americans talk about what the #ACA means to them: http://t.co/Gsrwo3sF",0
Help prove that a grassroots movement can still win an election—pitch in $5 now: http://t.co/Ewefx2iu,0
A moment in the Oval Office: http://t.co/C2iljUdS,0
On the road in Iowa: http://t.co/2HSMqUaf,0
RT if you agree the U.S. doesn’t need an outsourcer-in-chief: http://t.co/snk3BM3b,0
Every little bit helps: Pitch in $5 to #Obama2012 before tonight’s big fundraising deadline. http://t.co/jHApOoWu,0
VP Biden was on the road talking to Iowans last week—check out his speech in Dubuque: http://t.co/Gfi5bTxy,0
The VP dropped in on the Sisters of Mount St. Francis in Dubuque last week to catch up and share cookies and ice cream: http://t.co/jBFFrYe3,0
"“Ladies and gentlemen, my name's Joe Biden and I'm in love with a teacher.”—VP Biden speaking at the NEA convention today",0
“You chose to be teachers because you know every child is entitled to do as well as they can.”—VP Biden to educators at the NEA convention,0
"VP at NEA, on Romney: “I can't think of a candidate for president who’s ever made such a direct assault on such an honorable profession.”",0
“Light a fire under these guys &amp; tell them we will not settle in education. We will not trade off education for other priorities.”—VP at NEA,0
President Obama is visiting Ohio this week—check out highlights from the VP’s trip to the Mahoning Valley last month: http://t.co/8YbYXA1a,0
"The VP’s having coffee with a supporter, and it could be you. Pitch in for your chance to have a cup of joe with Joe: http://t.co/jXytnY3z",0
The President’s in Ohio today—don’t miss this video of VP Biden’s last swing through the Buckeye State: http://t.co/0cYW7u5c,0
"Scranton, PA gave the VP a warm hometown welcome this week: http://t.co/fEPDUmBt",0
"President Obama in Pittsburgh today: “If you still believe in me like I believe in you, I hope you will stand with me in 2012.”",0
"Check out photos, videos, and audio postcards from President Obama’s bus tour through Ohio and Pennsylvania: http://t.co/q9V33n1k",0
Donate $30 or more and you’ll get a Cup of Joe mug along with a chance to join the VP for coffee on the campaign trail: http://t.co/MtsZwrSm,0
VP Biden shared his personal reasons for supporting a strong education system at the NEA’s annual assembly: http://t.co/umznZCSM,0
"If you’re a teacher who stands by the progress the President and Vice President have made, join Educators for Obama:   http://t.co/blom6GC5",0
"President Obama: ""I’m calling on Congress to extend the tax cuts on the 98% of Americans who make less than $250,000 a year.”",0
"""This isn’t about taxing job creators. This is about helping job creators.""—President Obama",0
VP Biden will be speaking to @NCLR in Las Vegas tomorrow—have you checked out @LatinosforObama? http://t.co/hvT3UauT,0
"The President is in Cedar Rapids, Iowa today to speak up for the middle class—follow our live-tweet on @Obama2012 at 1:50pm ET.",0
"Watch VP Biden fire up the crowd in Waterloo, Iowa last month on President Obama’s record of supporting American jobs: http://t.co/0XswvG9P",0
"As a presidential candidate, Romney’s father released 12 years of tax returns, saying, “One year could be a fluke, perhaps done for show.”",0
“The American people support the DREAMers.”—VP Biden speaking at #NCLR2012 today,0
"VP Biden: “We believe the way to grow the economy—an economy that's built to last—is from the middle out, the old-fashioned way.”",0
"“Ladies and gentlemen, don’t miss this. This is your moment. This is the moment for your community.”—VP Biden addressing @NCLR today",0
Watch the Vice President describe Mitt Romney’s lack of “sound judgment” on the housing foreclosure crisis: http://t.co/i2n3WFG8,0
VP Biden on Mitt Romney's double standard: http://t.co/EIl3FgRk,0
The choice this November: http://t.co/7yJR6lFZ,0
Don’t miss this great highlight reel from the Vice President’s trip to Iowa last month: http://t.co/7MPsfsYu,0
"“In the end, that’s what the presidency’s all about: Your character. Your convictions.”—VP Biden to the NAACP today",0
“We see an America where our daughters have every—and I mean every—opportunity our sons have.”—VP Biden to the NAACP today,0
"“When you have the right to vote, you have the right to change things.”—VP Biden on the President’s commitment to voting rights",0
Vice President Biden: “We are our brother’s keeper. We are our sister’s keeper. We have an obligation.”,0
"“I believe this election will come down to character, conviction, and vision.”—VP Biden at the NAACP today",0
Meet Marge—an Iowa volunteer for #Obama2012 who goes way back with the Vice President: http://t.co/6yVCA5m0,0
A favorite Joe photo: http://t.co/m3ikDtZr,0
RT if you agree: http://t.co/bjboooGh,0
VP Biden talks about the GOP’s “different value set” on family issues like reforming Social Security and Medicare: http://t.co/9BbvSPfx,0
“I will wake up every single day fighting for you as hard as I know how.”—President Obama speaking in Cincinnati today,0
"President Obama in Ohio: “When the auto industry was on the brink of collapse and Gov. Romney said, ‘Let Detroit go bankrupt,' I said no.”",0
"VP Biden is visiting Columbus, Ohio on Thursday—check out these awesome pics from his May visit to the Buckeye State: http://t.co/8ZMk9YL7",0
"The President’s having a birthday party in Chicago next month, and you’re invited: http://t.co/3whXojF1",0
RT if you agree Mitt Romney should do the right thing and release more than one year of tax returns: http://t.co/469aQKFt,0
"President Obama bet on Ohio workers, and now manufacturing’s making a comeback—get the facts in this new report: http://t.co/JKZotQw4",0
"The VP fires up the crowd in Columbus, Ohio: http://t.co/1rthmqjl",0
Every opportunity: http://t.co/Rva1oaAP,0
"Register a voter, tell a story to inspire one person, volunteer one hour of your time—find out more about It Takes One: http://t.co/HcCCk5YQ",0
"Engineers, babies, and plenty of smiles greeted the VP in Columbus, Ohio last week: http://t.co/Xv7s9yHO",0
A favorite Joe photo: http://t.co/60oy5qIs,0
The Vice President’s commitment to first responders: http://t.co/4dSfASUX,0
Take it from VP Biden—you’ll have fun at President Obama’s birthday party: http://t.co/oLMwzx4S,0
"Find out why VP Biden reminds Brandon, an @OFA_CA volunteer, of his dad: http://t.co/oV2ITNNg",0
"A statement from VP Biden on Mitt Romney’s critiques of the President's foreign policy record today: “Empty rhetoric and bluster.""",0
"VP Biden: “President Obama has taken the fight directly to America’s enemies, confronting al-Qaeda head on and taking out Osama bin Laden.”",0
“He has done more for Israel’s security than any President since Harry Truman.”—VP Biden on President Obama,0
"“Because of President Obama’s leadership, Osama bin Laden is dead and General Motors is alive.”—Vice President Biden",0
VP Biden on Mitt Romney: “He reflexively criticizes the President’s policies without offering any alternatives.”,0
"VP: “President Obama has stood up repeatedly, publicly &amp; often alone against efforts to delegitimize Israel at the UN and around the world.”",0
“It’s a choice between two very different plans for our country.” http://t.co/SsxMthRX,0
President Obama and Vice President Biden are proud to accept today’s endorsement of the National Association of Police Organizations.,0
Watch live: The Vice President speaks at the International Association of Fire Fighters Convention in Philadelphia. http://t.co/XYzb5zb6,0
The President and I are honored to accept the endorsement of the National Association of Police Organizations. –Joe,0
Barack and I will continue to do everything we can to keep police officers across the country on the beat. –Joe,0
“You live in the neighborhoods you protect. You are the community.”—VP Biden speaking to firefighters at the IAFF convention yesterday,0
"VP: “The middle class is about being able to own your home and not just rent it, or being able to send your kid to a park you know is safe.”",0
"VP to firefighters: “I think you represent the heart, the soul, the very sinew of the cities, the towns, the counties that you protect.”",0
"From 18 tax cuts to more access to loans, find out how President Obama is giving small businesses a leg up: http://t.co/4DtjRmNL",0
"VP Biden’s son, @BeauBiden, on the promises President Obama has made—and kept—to our veterans: http://t.co/dRy0l4N0",0
".@BarackObama: ""I believe in fighting for the middle class, because if they're prospering all of us will prosper."" http://t.co/mEBNPaFu",0
"It’s the biggest #Obama2012 weekend of action yet, and it kicks off tomorrow. Find an event near you: http://t.co/uYv5rvgF",0
This one makes us smile: http://t.co/LHO9sw9V,0
"Dr. Jill Biden to the American Federation of Teachers in Detroit yesterday: “Being a teacher is not what I do, it’s who I am.”",0
"VP Biden to educators at the AFT convention yesterday: “You’re out there to teach because somebody, some teacher, lit a spark in you.”",0
VP Biden on the GOP and Mitt Romney: “It looks as though they decided that public education is not worth the investment anymore.”,0
"“The defining feature here is that to me, to Jill, to Barack, to Michelle, the middle class is not a number.”—VP Biden to @AFTUnion",0
Stand up for the progress President Obama has made for teachers and students—join Educators for Obama today: http://t.co/TidHDFvc,0
"I just made a stop at Chicago HQ today, which confirmed to me why we’re going to win. This is an amazing operation. –Joe",0
Some straight talk from Joe this morning: http://t.co/GsK7MK8Y,0
"Help close the fundraising gap and donate to President Obama now, while there’s still time to make a difference: http://t.co/8XNR8dXD",0
Check out what it’s like to be a part of the #Obama2012 campaign—then sign up to get involved: http://t.co/wnCaNFG0,0
"Charming the locals in Manchester, Iowa: http://t.co/8A6ocJ3H",0
